timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1494949317527,384,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,876,0
1494949318788,207,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,880,0
1494949319876,181,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,846,0
1494949320903,407,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,876,0
1494949322187,276,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,853,0
1494949323316,344,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,862,0
1494949324523,100,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,869,0
1494949325493,99,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,872,0
1494949326465,92,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,870,0
1494949327428,184,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,873,0
1494949328486,414,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,870,0
1494949329770,453,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,876,0
1494949331100,115,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,873,0
1494949332089,457,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,859,0
1494949333404,479,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,885,0
1494949334770,152,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949335789,440,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949337093,435,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,875,0
1494949338405,431,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,874,0
1494949339711,182,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,883,0
1494949340777,266,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,882,0
1494949341927,251,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,873,0
1494949343052,130,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,867,0
1494949344050,279,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,853,0
1494949345182,187,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,871,0
1494949346241,307,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,866,0
1494949347414,342,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,864,0
1494949348623,97,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,879,0
1494949349607,388,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,886,0
1494949350882,113,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,875,0
1494949351871,419,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,886,0
1494949353177,331,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,879,0
1494949354387,90,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,878,0
1494949355356,322,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949356544,455,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,883,0
1494949357887,444,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,879,0
1494949359210,297,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,887,0
1494949360395,388,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,858,0
1494949361641,264,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,871,0
1494949362777,223,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,864,0
1494949363866,491,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,858,0
1494949365216,246,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,886,0
1494949366348,115,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,867,0
1494949367332,255,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,883,0
1494949368473,77,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,876,0
1494949369427,250,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,877,0
1494949370555,497,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,849,0
1494949371901,258,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949373023,276,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,858,0
1494949374159,72,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,848,0
1494949375080,181,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,873,0
1494949376135,207,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,853,0
1494949377198,467,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,877,0
1494949378556,391,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,883,0
1494949379834,116,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949380820,63,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,853,0
1494949381737,206,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,866,0
1494949382810,338,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,879,0
1494949384028,163,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,875,0
1494949385067,338,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,871,0
1494949386277,319,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,872,0
